Geo,Year,LtTrkProp
Martinsville City,2045,0.221
Mathews County,2024,0.099
Mathews County,2045,0.274
Mecklenburg County,2024,0.09
Mecklenburg County,2045,0.295
Middlesex County,2024,0.055
Middlesex County,2045,0.25
Montgomery County,2024,0.104
Montgomery County,2045,0.374
Nelson County,2024,0.077
Nelson County,2045,0.26
New Kent County,2024,0.095
New Kent County,2045,0.308
Newport News City,2024,0.223
Newport News City,2045,0.661
Norfolk City,2024,0.132
Norfolk City,2045,0.729
Northampton County,2024,0.095
Northampton County,2045,0.26
Northumberland County,2024,0.125
Northumberland County,2045,0.408
Norton City,2024,0.123
Norton City,2045,0.369
Nottoway County,2024,0.079
Nottoway County,2045,0.353
Orange County,2024,0.112
Orange County,2045,0.315
Page County,2024,0.108
Page County,2045,0.403
Patrick County,2024,0.108
Patrick County,2045,0.309
Petersburg City,2024,0.091
Petersburg City,2045,0.433
Pittsylvania County,2024,0.089
Pittsylvania County,2045,0.193
Poquoson City,2024,0.077
Poquoson City,2045,0.291
Portsmouth City,2024,0.126
Portsmouth City,2045,0.391
Powhatan County,2024,0.106
Powhatan County,2045,0.317
Prince Edward County,2024,0.055
Prince Edward County,2045,0.17
Prince George County,2024,0.095
Prince George County,2045,0.36
Prince William County,2024,0.155
Prince William County,2045,0.518
Pulaski County,2024,0.081
Pulaski County,2045,0.421
Radford City,2024,0.081
Radford City,2045,0.265
Rappahannock County,2024,0.065
Rappahannock County,2045,0.19
Richmond City,2024,0.182
Richmond City,2045,0.731
Richmond County,2024,0.093
Richmond County,2045,0.241
Roanoke City,2024,0.123
Roanoke City,2045,0.363
Roanoke County,2024,0.098
Roanoke County,2045,0.26
Rockbridge County,2024,0.106
Rockbridge County,2045,0.359
Rockingham County,2024,0.056
Rockingham County,2045,0.158
Russell County,2024,0.071
Russell County,2045,0.343
Salem City,2024,0.106
Salem City,2045,0.412
Scott County,2024,0.111
Scott County,2045,0.303
Shenandoah County,2024,0.082
Shenandoah County,2045,0.207
Smyth County,2024,0.078
Smyth County,2045,0.202
Southampton County,2024,0.079
Southampton County,2045,0.236
Spotsylvania County,2024,0.057
Spotsylvania County,2045,0.198
Stafford County,2024,0.096
Stafford County,2045,0.263
Staunton City,2024,0.094
Staunton City,2045,0.543
Suffolk City,2024,0.093
Suffolk City,2045,0.422
Surry County,2024,0.083
Surry County,2045,0.279
Sussex County,2024,0.071
Sussex County,2045,0.19
Tazewell County,2024,0.107
Tazewell County,2045,0.31
Virginia Beach City,2024,0.172
Virginia Beach City,2045,0.57
Warren County,2024,0.112
Warren County,2045,0.357
Washington County,2024,0.122
Washington County,2045,0.382
Waynesboro City,2024,0.118
Waynesboro City,2045,0.27
Westmoreland County,2024,0.07
Westmoreland County,2045,0.219
Williamsburg City,2024,0.125
Williamsburg City,2045,0.58
Winchester City,2024,0.104
Winchester City,2045,0.266
Wise County,2024,0.109
Wise County,2045,0.35
Wythe County,2024,0.12
Wythe County,2045,0.364
York County,2024,0.061
York County,2045,0.229
