Geo,Year,ElectricityCI
Roanoke City,2045,14
Roanoke County,2024,57
Roanoke County,2045,14
Rockbridge County,2024,57
Rockbridge County,2045,14
Rockingham County,2024,57
Rockingham County,2045,14
Russell County,2024,57
Russell County,2045,14
Salem City,2024,57
Salem City,2045,14
Scott County,2024,57
Scott County,2045,14
Shenandoah County,2024,57
Shenandoah County,2045,14
Smyth County,2024,57
Smyth County,2045,14
Southampton County,2024,57
Southampton County,2045,14
Spotsylvania County,2024,57
Spotsylvania County,2045,14
Stafford County,2024,57
Stafford County,2045,14
Staunton City,2024,57
Staunton City,2045,14
Suffolk City,2024,57
Suffolk City,2045,14
Surry County,2024,57
Surry County,2045,14
Sussex County,2024,57
Sussex County,2045,14
Tazewell County,2024,57
Tazewell County,2045,14
Virginia Beach City,2024,57
Virginia Beach City,2045,14
Warren County,2024,57
Warren County,2045,14
Washington County,2024,57
Washington County,2045,14
Waynesboro City,2024,57
Waynesboro City,2045,14
Westmoreland County,2024,57
Westmoreland County,2045,14
Williamsburg City,2024,57
Williamsburg City,2045,14
Winchester City,2024,57
Winchester City,2045,14
Wise County,2024,57
Wise County,2045,14
Wythe County,2024,57
Wythe County,2045,14
York County,2024,57
York County,2045,14
