Geo,Year,PropSovDvmtDiverted
Mecklenburg County,2045,0.25
Middlesex County,2024,0.03
Middlesex County,2045,0.25
Montgomery County,2024,0.03
Montgomery County,2045,0.25
Nelson County,2024,0.03
Nelson County,2045,0.25
New Kent County,2024,0.03
New Kent County,2045,0.25
Newport News City,2024,0.05
Newport News City,2045,0.35
Norfolk City,2024,0.05
Norfolk City,2045,0.35
Northampton County,2024,0.03
Northampton County,2045,0.25
Northumberland County,2024,0.03
Northumberland County,2045,0.25
Norton City,2024,0.05
Norton City,2045,0.35
Nottoway County,2024,0.03
Nottoway County,2045,0.25
Orange County,2024,0.03
Orange County,2045,0.25
Page County,2024,0.03
Page County,2045,0.25
Patrick County,2024,0.03
Patrick County,2045,0.25
Petersburg City,2024,0.05
Petersburg City,2045,0.35
Pittsylvania County,2024,0.03
Pittsylvania County,2045,0.25
Poquoson City,2024,0.05
Poquoson City,2045,0.35
Portsmouth City,2024,0.05
Portsmouth City,2045,0.35
Powhatan County,2024,0.03
Powhatan County,2045,0.25
Prince Edward County,2024,0.03
Prince Edward County,2045,0.25
Prince George County,2024,0.03
Prince George County,2045,0.25
Prince William County,2024,0.03
Prince William County,2045,0.25
Pulaski County,2024,0.03
Pulaski County,2045,0.25
Radford City,2024,0.05
Radford City,2045,0.35
Rappahannock County,2024,0.03
Rappahannock County,2045,0.25
Richmond City,2024,0.05
Richmond City,2045,0.35
Richmond County,2024,0.03
Richmond County,2045,0.25
Roanoke City,2024,0.05
Roanoke City,2045,0.35
Roanoke County,2024,0.03
Roanoke County,2045,0.25
Rockbridge County,2024,0.03
Rockbridge County,2045,0.25
Rockingham County,2024,0.03
Rockingham County,2045,0.25
Russell County,2024,0.03
Russell County,2045,0.25
Salem City,2024,0.05
Salem City,2045,0.35
Scott County,2024,0.03
Scott County,2045,0.25
Shenandoah County,2024,0.03
Shenandoah County,2045,0.25
Smyth County,2024,0.03
Smyth County,2045,0.25
Southampton County,2024,0.03
Southampton County,2045,0.25
Spotsylvania County,2024,0.03
Spotsylvania County,2045,0.25
Stafford County,2024,0.03
Stafford County,2045,0.25
Staunton City,2024,0.05
Staunton City,2045,0.35
Suffolk City,2024,0.05
Suffolk City,2045,0.35
Surry County,2024,0.03
Surry County,2045,0.25
Sussex County,2024,0.03
Sussex County,2045,0.25
Tazewell County,2024,0.03
Tazewell County,2045,0.25
Virginia Beach City,2024,0.05
Virginia Beach City,2045,0.35
Warren County,2024,0.03
Warren County,2045,0.25
Washington County,2024,0.03
Washington County,2045,0.25
Waynesboro City,2024,0.05
Waynesboro City,2045,0.35
Westmoreland County,2024,0.03
Westmoreland County,2045,0.25
Williamsburg City,2024,0.05
Williamsburg City,2045,0.35
Winchester City,2024,0.05
Winchester City,2045,0.35
Wise County,2024,0.03
Wise County,2045,0.25
Wythe County,2024,0.03
Wythe County,2045,0.25
York County,2024,0.03
York County,2045,0.25
